Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.40-10.0.0.42-3004-54103-6,10.0.0.42,54103,10.0.0.40,3004,6,12/04/2014 02:15:30 PM,5025994,10,11,241.0,33918.0,225.0,0.0,24.1,70.66737421029437,14480.0,0.0,3083.4545454545455,5031.834960799814,6796.46652980485,4.178277968497376,251299.69999999998,1110829.1365479685,4970538.0,22.0,5025454.0,558383.7777777778,1654608.2752119743,4970538.0,98.0,16883.0,1688.3000000000002,4121.737337310297,13409.0,158.0,0,0,0,0,320,368,1.989656175474941,2.188621793022435,0.0,14480.0,1552.6818181818182,3809.7052552703644,1.4513854132034633E7,0,1,0,0,0,0,0,0,1.0,1626.6190476190477,24.1,3083.4545454545455,0,0,0,0,0,0,10,241,11,33918,-1,16,3,0,0,0,0,0,0,0,0,0,No Label
10.0.0.40-10.0.0.42-3004-54104-6,10.0.0.42,54104,10.0.0.40,3004,6,12/04/2014 02:15:36 PM,5026026,10,11,241.0,33918.0,225.0,0.0,24.1,70.66737421029437,14480.0,0.0,3083.4545454545455,5031.834960799814,6796.423257659232,4.17825136598975,251301.3,1110831.7477658042,4970552.0,23.0,5025530.0,558392.2222222222,1654609.9005916605,4970552.0,98.0,17037.0,1703.7,4085.4473996804254,13312.0,157.0,0,0,0,0,320,368,1.9896435076141668,2.1886078583755832,0.0,14480.0,1552.6818181818182,3809.7052552703644,1.4513854132034633E7,0,1,0,0,0,0,0,0,1.0,1626.6190476190477,24.1,3083.4545454545455,0,0,0,0,0,0,10,241,11,33918,-1,16,3,0,0,0,0,0,0,0,0,0,No Label
10.0.0.40-10.0.0.42-3004-54105-6,10.0.0.42,54105,10.0.0.40,3004,6,12/04/2014 02:15:42 PM,5025556,10,11,241.0,33918.0,225.0,0.0,24.1,70.66737421029437,14480.0,0.0,3083.4545454545455,5031.834960799814,6797.058872689908,4.1786421243739005,251277.80000000002,1110999.4818625255,4971245.0,24.0,5025034.0,558337.1111111111,1654888.6911600314,4971245.0,145.0,16407.0,1640.6999999999998,4051.9443357479627,13164.0,217.0,0,0,0,0,320,368,1.9898295830351906,2.18881254133871,0.0,14480.0,1552.6818181818182,3809.7052552703644,1.4513854132034633E7,0,1,0,0,0,0,0,0,1.0,1626.6190476190477,24.1,3083.4545454545455,0,0,0,0,0,0,10,241,11,33918,-1,16,3,0,0,0,0,0,0,0,0,0,No Label
10.0.0.40-10.0.0.42-3004-54106-6,10.0.0.42,54106,10.0.0.40,3004,6,12/04/2014 02:15:44 PM,2942777,5,4,568.0,137.0,517.0,0.0,113.6,226.58618669283442,137.0,0.0,34.25,68.5,239.5696309982034,3.058335714870682,367847.125,1038578.7262733402,2938198.0,41.0,2942199.0,735549.75,1469346.9064556933,2939570.0,247.0,2941457.0,980485.6666666666,1695428.999591647,2938198.0,486.0,0,0,0,0,160,144,1.6990753971503787,1.3592603177203029,0.0,517.0,70.5,162.9439235510862,26550.722222222223,0,1,0,0,0,0,0,0,0.0,78.33333333333333,113.6,34.25,0,0,0,0,0,0,5,568,4,137,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
10.0.0.40-10.0.0.42-3004-54107-6,10.0.0.42,54107,10.0.0.40,3004,6,12/04/2014 02:15:44 PM,2945547,5,5,568.0,137.0,517.0,0.0,113.6,226.58618669283442,137.0,0.0,27.4,61.26826258349424,239.3443390989857,3.3949551645246197,327283.0,980324.009666702,2941480.0,6.0,2945084.0,736271.0,1470766.0974610024,2942420.0,257.0,2945541.0,736385.25,1470063.422492915,2941480.0,410.0,0,0,0,0,160,176,1.6974775822623098,1.6974775822623098,0.0,517.0,64.0909090909091,156.03682549030185,24347.49090909091,0,1,0,0,0,0,0,0,1.0,70.5,113.6,27.4,0,0,0,0,0,0,5,568,5,137,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
10.0.0.40-10.0.0.42-3004-54108-6,10.0.0.42,54108,10.0.0.40,3004,6,12/04/2014 02:15:44 PM,2947609,5,4,568.0,137.0,517.0,0.0,113.6,226.58618669283442,137.0,0.0,34.25,68.5,239.1769057564962,3.0533222011467602,368451.125,1040550.5485740899,2943682.0,40.0,2947028.0,736757.0,1471738.8003616673,2944365.0,156.0,2946594.0,982198.0,1698695.2249644431,2943682.0,531.0,0,0,0,0,160,144,1.6962901117482,1.3570320893985601,0.0,517.0,70.5,162.9439235510862,26550.722222222223,0,1,0,0,0,0,0,0,0.0,78.33333333333333,113.6,34.25,0,0,0,0,0,0,5,568,4,137,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
10.0.0.40-10.0.0.42-3004-54109-6,10.0.0.42,54109,10.0.0.40,3004,6,12/04/2014 02:15:44 PM,2950260,5,4,568.0,137.0,517.0,0.0,113.6,226.58618669283442,137.0,0.0,34.25,68.5,238.9619897907303,3.0505785930731526,368782.5,1041553.2746927268,2946495.0,32.0,2949610.0,737402.5,1473079.135862587,2947021.0,116.0,2949302.0,983100.6666666666,1700349.5606328521,2946495.0,599.0,0,0,0,0,160,144,1.6947658850406404,1.3558127080325124,0.0,517.0,70.5,162.9439235510862,26550.722222222223,0,1,0,0,0,0,0,0,0.0,78.33333333333333,113.6,34.25,0,0,0,0,0,0,5,568,4,137,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
10.0.0.40-10.0.0.42-3004-54110-6,10.0.0.42,54110,10.0.0.40,3004,6,12/04/2014 02:15:44 PM,2951938,5,4,568.0,137.0,517.0,0.0,113.6,226.58618669283442,137.0,0.0,34.25,68.5,238.8261542078458,3.048844521802287,368992.25,1042190.1564627871,2948281.0,30.0,2951210.0,737802.5,1473955.7766114739,2948736.0,162.0,2950986.0,983662.0,1701410.1000473108,2948281.0,669.0,0,0,0,0,160,144,1.6938025121123816,1.3550420096899054,0.0,517.0,70.5,162.9439235510862,26550.722222222223,0,1,0,0,0,0,0,0,0.0,78.33333333333333,113.6,34.25,0,0,0,0,0,0,5,568,4,137,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
10.0.0.40-10.0.0.42-3004-54112-6,10.0.0.42,54112,10.0.0.40,3004,6,12/04/2014 02:15:47 PM,2511,5,4,568.0,137.0,517.0,0.0,113.6,226.58618669283442,137.0,0.0,34.25,68.5,280764.63560334523,3584.229390681003,313.875,295.6539664153736,827.0,21.0,2251.0,562.75,379.3963406957602,939.0,155.0,1508.0,502.6666666666667,245.91936347781427,693.0,225.0,0,0,0,0,160,144,1991.238550378335,1592.9908403026682,0.0,517.0,70.5,162.9439235510862,26550.722222222223,0,1,0,0,0,0,0,0,0.0,78.33333333333333,113.6,34.25,0,0,0,0,0,0,5,568,4,137,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
10.0.0.40-10.0.0.42-3004-54113-6,10.0.0.42,54113,10.0.0.40,3004,6,12/04/2014 02:15:47 PM,3734,5,4,568.0,137.0,517.0,0.0,113.6,226.58618669283442,137.0,0.0,34.25,68.5,188805.5704338511,2410.28387787895,466.75,782.450865641324,2332.0,22.0,3588.0,897.0,1093.118474823292,2500.0,150.0,2880.0,960.0,1197.9970784605446,2332.0,121.0,0,0,0,0,160,144,1339.046598821639,1071.2372790573113,0.0,517.0,70.5,162.9439235510862,26550.722222222223,0,1,0,0,0,0,0,0,0.0,78.33333333333333,113.6,34.25,0,0,0,0,0,0,5,568,4,137,-1,16,2,0,0,0,0,0,0,0,0,0,No Label
