Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.43.129-216.58.206.234-65142-443-6,192.168.43.129,65142,216.58.206.234,443,6,17/07/2020 12:42:16 AM,10549806,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0947884728875583,0.28436541866267495,5274903.0,3685693.6877719504,7881082.0,2668724.0,0,0,0,0,0,2668724.0,2668724.0,0.0,2668724.0,2668724.0,0,0,0,0,20,52,0.0947884728875583,0.1895769457751166,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,242,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.129-104.40.210.32-65124-443-6,192.168.43.129,65124,104.40.210.32,443,6,17/07/2020 12:42:09 AM,17535331,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0570277230580934,0.1140554461161868,1.7535331E7,0.0,1.7535331E7,1.7535331E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0570277230580934,0.0570277230580934,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,1,1,-1,511,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.129-216.58.213.163-65133-443-6,192.168.43.129,65133,216.58.213.163,443,6,17/07/2020 12:42:06 AM,20334436,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.04917766098848279,0.14753298296544837,1.0167218E7,1.001433473473061E7,1.7248422E7,3086014.0,0,0,0,0,0,3086014.0,3086014.0,0.0,3086014.0,3086014.0,0,0,0,0,20,52,0.04917766098848279,0.09835532197696557,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,242,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.129-216.58.213.163-65132-443-6,192.168.43.129,65132,216.58.213.163,443,6,17/07/2020 12:42:06 AM,20334251,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.04917810840438628,0.14753432521315885,1.01671255E7,1.00146508114618E7,1.7248553E7,3085698.0,0,0,0,0,0,3085698.0,3085698.0,0.0,3085698.0,3085698.0,0,0,0,0,20,52,0.04917810840438628,0.09835621680877256,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,242,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.129-216.58.213.163-65131-443-6,192.168.43.129,65131,216.58.213.163,443,6,17/07/2020 12:42:06 AM,20272105,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.04932886841302371,0.14798660523907112,1.01360525E7,1.0058747404550156E7,1.7248661E7,3023444.0,0,0,0,0,0,3023444.0,3023444.0,0.0,3023444.0,3023444.0,0,0,0,0,20,52,0.04932886841302371,0.09865773682604742,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,242,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.129-216.58.213.163-65134-443-6,192.168.43.129,65134,216.58.213.163,443,6,17/07/2020 12:42:11 AM,15670742,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.06381318765888686,0.19143956297666057,7835371.0,2042237.5211517392,9279451.0,6391291.0,0,0,0,0,0,6391291.0,6391291.0,0.0,6391291.0,6391291.0,0,0,0,0,20,52,0.06381318765888686,0.1276263753177737,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,242,0,0,0,0,0,0,6391291.0,0.0,6391291.0,6391291.0,No Label
192.168.43.129-216.58.209.234-65139-443-6,192.168.43.129,65139,216.58.209.234,443,6,17/07/2020 12:42:26 AM,1503313,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.330394934388248,1503313.0,0.0,1503313.0,1503313.0,0,0,0,0,0,1503313.0,1503313.0,0.0,1503313.0,1503313.0,0,0,0,0,0,40,0.0,1.330394934388248,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,242,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.129-13.224.106.83-65162-443-6,192.168.43.129,65162,13.224.106.83,443,6,17/07/2020 12:42:28 AM,6316925,9,8,1160.0,4965.0,517.0,0.0,128.88888888888889,223.87018808030496,1380.0,0.0,620.625,687.8976122941554,969.6173375495197,2.691182814423157,394807.81250000006,589897.7226287303,1925016.0,57.0,5310544.0,663818.0000000001,724482.9169026102,1925016.0,405.0,6298554.0,899793.4285714286,1113413.8513110415,2820928.0,511.0,0,0,0,0,204,196,1.4247438429299064,1.2664389714932502,0.0,1380.0,340.27777777777777,534.6839424376362,285886.9183006535,0,1,0,0,0,0,0,0,0.0,360.29411764705884,128.88888888888889,620.625,0,0,0,0,0,0,9,1160,8,4965,-1,119,3,0,0,0,0,0,0,0,0,0,No Label
192.168.43.129-13.224.106.83-65161-443-6,192.168.43.129,65161,13.224.106.83,443,6,17/07/2020 12:42:28 AM,6317516,7,5,1034.0,0.0,517.0,0.0,147.71428571428572,252.27016885719584,0.0,0.0,0.0,0.0,163.67192421831618,1.8994807452802651,574319.6363636364,702168.4800530814,1925550.0,40.0,5311165.0,885194.1666666666,760801.9645130831,1925550.0,825.0,6298803.0,1574700.75,1372065.8965611856,3241191.0,858.0,0,0,0,0,176,148,1.1080304347468213,0.7914503105334438,0.0,517.0,79.53846153846155,194.1509787873926,37694.60256410257,0,1,0,0,0,0,0,0,0.0,86.16666666666667,147.71428571428572,0.0,0,0,0,0,0,0,7,1034,5,0,-1,119,2,0,0,0,0,0,0,0,0,0,No Label
192.168.43.129-13.224.106.83-65164-443-6,192.168.43.129,65164,13.224.106.83,443,6,17/07/2020 12:42:28 AM,6316993,6,3,1034.0,0.0,517.0,0.0,172.33333333333334,266.9776519985646,0.0,0.0,0.0,0.0,163.68547503535305,1.4247285061104231,789624.125,719129.4750900341,1925734.0,29.0,5311326.0,1062265.2,699087.4136405976,1925734.0,1619.0,3056631.0,1528315.5,624121.4364532755,1969636.0,1086995.0,0,0,0,0,144,96,0.9498190040736154,0.4749095020368077,0.0,517.0,103.39999999999999,217.9863400409403,47518.044444444444,0,1,0,0,0,0,0,0,0.0,114.88888888888889,172.33333333333334,0.0,0,0,0,0,0,0,6,1034,3,0,-1,29200,2,0,0,0,0,0,0,0,0,0,No Label
