Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
191.232.245.3-192.168.43.129-443-49811-6,192.168.43.129,49811,191.232.245.3,443,6,07/08/2020 11:34:00 AM,1943663,13,13,1992.0,10926.0,1299.0,0.0,153.23076923076923,364.28540867616283,1380.0,0.0,840.4615384615385,667.0164434985362,6646.21387555353,13.376804518067177,77746.51999999999,154672.96676943905,599846.0,18.0,1265894.0,105491.16666666666,182616.89164867593,599879.0,181.0,1943663.0,161971.91666666663,193955.32274514728,600633.0,280.0,0,0,0,0,344,284,6.688402259033588,6.688402259033588,0.0,1380.0,478.44444444444446,627.5394767437303,393805.7948717949,0,1,0,0,0,0,0,0,1.0,496.84615384615387,153.23076923076923,840.4615384615385,0,0,0,0,0,0,13,1992,13,10926,-1,1024,4,0,0,0,0,0,0,0,0,0,No Label
191.232.245.3-192.168.43.129-443-49811-6,192.168.43.129,49811,191.232.245.3,443,6,07/08/2020 11:34:02 AM,150,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,206666.6666666667,20000.0,75.0,2.8284271247461903,77.0,73.0,73.0,73.0,0.0,73.0,73.0,0,0,0,0,0,0,0,0,0,40,20,13333.333333333334,6666.666666666667,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,507,1,0,0,0,0,0,0,0,0,0,No Label
191.232.245.3-192.168.43.129-443-49822-6,192.168.43.129,49822,191.232.245.3,443,6,07/08/2020 11:34:03 AM,2354452,14,14,2177.0,10915.0,1288.0,0.0,155.5,347.4209926786897,1380.0,0.0,779.6428571428571,678.7051707414706,5560.529583954142,11.892363913131378,87201.92592592594,183851.66267713803,635132.0,2.0,1601473.0,123190.23076923078,231155.64408681935,635132.0,108.0,2354452.0,181111.69230769228,295958.52272950474,939348.0,2.0,0,0,0,0,364,316,5.946181956565689,5.946181956565689,0.0,1380.0,451.44827586206895,612.2386081426853,374836.1133004925,0,1,0,0,0,0,0,0,1.0,467.57142857142856,155.5,779.6428571428571,0,0,0,0,0,0,14,2177,14,10915,-1,1024,5,0,0,0,0,0,0,0,0,0,No Label
191.232.245.3-192.168.43.129-443-49822-6,192.168.43.129,49822,191.232.245.3,443,6,07/08/2020 11:34:06 AM,16572,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,1870.625150856867,181.02824040550325,8286.0,11542.811096089203,16448.0,124.0,124.0,124.0,0.0,124.0,124.0,0,0,0,0,0,0,0,0,0,40,20,120.68549360366885,60.34274680183442,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,507,1,0,0,0,0,0,0,0,0,0,No Label
192.168.43.129-52.114.74.45-49841-443-6,192.168.43.129,49841,52.114.74.45,443,6,07/08/2020 11:34:25 AM,3095398,8,8,1846.0,4439.0,968.0,0.0,230.75,356.8804321578067,1380.0,0.0,554.875,664.3337021837315,2030.4335662166868,5.168963732612091,206359.86666666667,516658.67700831365,2034185.0,94.0,2849166.0,407023.7142857143,731386.557169261,2034185.0,438.0,1015904.0,145129.14285714284,129958.88709309645,311538.0,294.0,0,0,0,0,160,184,2.5844818663060454,2.5844818663060454,0.0,1380.0,369.70588235294116,533.0556683764232,284148.3455882353,0,1,0,0,0,0,0,0,1.0,392.8125,230.75,554.875,0,0,0,0,0,0,8,1846,8,4439,-1,1024,4,0,0,0,0,0,0,0,0,0,No Label
192.168.43.129-52.114.74.45-49842-443-6,192.168.43.129,49842,52.114.74.45,443,6,07/08/2020 11:34:27 AM,1225001,12,9,4222.0,5819.0,1380.0,0.0,351.8333333333333,567.7561629837764,1380.0,0.0,646.5555555555555,679.5732320933321,8196.728002671018,17.14284314869947,61250.049999999996,89563.6433613286,271295.0,20.0,1096681.0,99698.27272727272,128007.19828438626,363413.0,20.0,1180961.0,147620.12500000003,116267.84434158605,346833.0,233.0,0,0,0,0,276,204,9.795910370685412,7.346932778014058,0.0,1380.0,456.40909090909093,613.5501422510446,376443.77705627703,0,1,0,0,0,0,0,0,0.0,478.14285714285717,351.8333333333333,646.5555555555555,0,0,0,0,0,0,12,4222,9,5819,-1,1020,6,0,0,0,0,0,0,0,0,0,No Label
192.168.43.129-52.114.74.45-49842-443-6,52.114.74.45,443,192.168.43.129,49842,6,07/08/2020 11:34:28 AM,10298,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.21246844047388,10298.0,0.0,10298.0,10298.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,97.10623422023694,97.10623422023694,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1020,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.129-204.79.197.203-49816-443-6,192.168.43.129,49816,204.79.197.203,443,6,07/08/2020 11:34:00 AM,42293550,9,10,1230.0,519.0,564.0,0.0,136.66666666666666,243.23188524533538,150.0,0.0,51.900000000000006,70.965484568204,41.35382345534957,0.44924107813129893,2349641.6666666665,9675946.91065166,4.1118009E7,0.0,4.2152107E7,5269013.375,1.4508613669102699E7,4.1174328E7,1604.0,1175541.0,130615.66666666667,144970.18362063283,417311.0,0.0,0,0,0,0,204,248,0.2127984054306153,0.23644267270068364,0.0,564.0,87.44999999999999,171.78703921456142,29510.78684210526,0,1,0,0,0,0,0,0,1.0,92.05263157894737,136.66666666666666,51.9,0,0,0,0,0,0,9,1230,10,519,-1,1021,4,0,0,0,0,0,0,0,0,0,No Label
192.168.43.129-34.196.246.152-49836-443-6,192.168.43.129,49836,34.196.246.152,443,6,07/08/2020 11:34:09 AM,33180454,9,8,643.0,4149.0,517.0,0.0,71.44444444444444,172.20127112706743,1380.0,0.0,518.625,604.1224893536552,144.42237589636358,0.5123498310179843,2073778.375,8006680.804290343,3.2095168E7,33.0,3.3003836E7,4125479.5,1.1302688346081944E7,3.2095168E7,399.0,1036946.0,148135.14285714287,163308.53704713722,403259.0,5495.0,0,0,0,0,216,184,0.2712440281859917,0.24110580283199262,0.0,1380.0,266.22222222222223,467.40529780726774,218467.71241830065,0,1,0,0,0,0,0,0,0.0,281.88235294117646,71.44444444444444,518.625,0,0,0,0,0,0,9,643,8,4149,-1,110,2,0,0,0,0,0,0,0,0,0,No Label
192.168.43.129-204.79.197.219-49830-443-6,192.168.43.129,49830,204.79.197.219,443,6,07/08/2020 11:34:08 AM,34581920,5,6,622.0,223.0,571.0,0.0,124.4,250.63180165334168,154.0,0.0,37.16666666666667,63.54342347298158,24.434733525495407,0.31808528849757334,3458192.0,1.0661271306334093E7,3.3798266E7,80.0,3.4363411E7,8590852.75,1.6805827730479177E7,3.3798266E7,373.0,733690.0,146738.0,175354.5990799785,416192.0,80.0,0,0,0,0,100,144,0.1445842220443515,0.1735010664532218,0.0,571.0,70.41666666666666,164.48733487212118,27056.083333333336,0,1,0,0,0,0,0,0,1.0,76.81818181818181,124.4,37.166666666666664,0,0,0,0,0,0,5,622,6,223,-1,1021,2,0,0,0,0,0,0,0,0,0,No Label
