Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.100-5.9.151.76-49746-444-6,192.168.8.100,49746,5.9.151.76,444,6,14/08/2020 08:11:44 PM,906705,10,13,2726.0,539.0,1380.0,0.0,272.6,474.11231674455456,522.0,0.0,41.46153846153846,144.40487952548293,3600.950695099288,25.366574574972013,41213.86363636364,42625.95396982526,117896.0,10.0,817547.0,90838.55555555556,70896.19818458376,222914.0,10.0,906601.0,75550.08333333334,56083.39249474569,205387.0,160.0,0,0,0,0,200,276,11.028945467379137,14.337629107592878,0.0,1380.0,136.04166666666669,335.86714236263214,112806.73731884059,0,1,0,0,0,0,0,0,1.0,141.95652173913044,272.6,41.46153846153846,0,0,0,0,0,0,10,2726,13,539,-1,23274,7,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-216.58.207.35-49745-443-6,192.168.8.100,49745,216.58.207.35,443,6,14/08/2020 08:11:44 PM,1006648,4,5,517.0,2682.0,517.0,0.0,129.25,258.5,1380.0,0.0,536.4,735.0134692643394,3177.8734969919974,8.940563136270077,125831.0,187391.49089616028,542342.0,55.0,908180.0,302726.6666666667,215065.8410843836,542342.0,126424.0,767179.0,191794.75,306726.0649954342,647630.0,5159.0,0,0,0,0,80,124,3.973583616120034,4.966979520150042,0.0,1380.0,319.90000000000003,562.0926080282501,315948.1,0,1,0,0,0,0,0,0,1.0,355.44444444444446,129.25,536.4,0,0,0,0,0,0,4,517,5,2682,-1,242,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-35.186.224.25-49681-443-6,192.168.8.100,49681,35.186.224.25,443,6,14/08/2020 08:11:45 PM,56311,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35.51703929960399,56311.0,0.0,56311.0,56311.0,0,0,0,0,0,56311.0,56311.0,0.0,56311.0,56311.0,0,0,0,0,0,40,0.0,35.51703929960399,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,287,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-5.9.151.76-49758-444-6,192.168.8.100,49758,5.9.151.76,444,6,14/08/2020 08:11:51 PM,929546,9,14,2324.0,539.0,1380.0,0.0,258.22222222222223,476.16824174281555,522.0,0.0,38.5,139.1815361317729,3079.998192666097,24.743261764345174,42252.090909090904,45873.39272483103,115212.0,0.0,633965.0,79245.625,72723.23287434648,228198.0,8.0,929546.0,71503.53846153845,56181.864322655136,180791.0,0.0,0,0,0,0,180,296,9.682145907787243,15.061115856557933,0.0,1380.0,119.29166666666667,319.3095103591453,101958.5634057971,0,1,0,0,0,0,0,0,1.0,124.47826086956522,258.22222222222223,38.5,0,0,0,0,0,0,9,2324,14,539,-1,23676,7,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-5.9.151.76-49758-444-6,192.168.8.100,49758,5.9.151.76,444,6,14/08/2020 08:11:51 PM,44,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45454.545454545456,44.0,0.0,44.0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,22727.272727272728,22727.272727272728,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,63701,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-5.9.151.76-49759-444-6,192.168.8.100,49759,5.9.151.76,444,6,14/08/2020 08:11:51 PM,929533,8,14,2325.0,539.0,1380.0,0.0,290.625,498.39311434706985,522.0,0.0,38.5,139.1815361317729,3081.117077069883,23.667798776374802,44263.47619047618,48718.36335779256,121037.0,14.0,633687.0,90526.71428571429,92746.2320397515,275888.0,14.0,929533.0,71502.53846153845,56690.490095511,180953.0,18.0,0,0,0,0,160,296,8.60647228231811,15.061326494056692,0.0,1380.0,124.52173913043481,325.46636044091576,105928.35177865611,0,1,0,0,0,0,0,0,1.0,130.1818181818182,290.625,38.5,0,0,0,0,0,0,8,2325,14,539,-1,23675,7,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-5.9.151.76-49764-444-6,192.168.8.100,49764,5.9.151.76,444,6,14/08/2020 08:11:51 PM,711359,9,13,2325.0,539.0,1380.0,0.0,258.3333333333333,476.1627872902291,522.0,0.0,41.46153846153847,144.40487952548293,4026.096527913473,30.92671913900014,33874.23809523809,42039.17852064282,132937.0,0.0,620937.0,77617.125,72686.14940460018,221713.0,11.0,711359.0,59279.91666666666,57323.325127906675,170418.0,0.0,0,0,0,0,180,284,12.651839647772785,18.274879491227356,0.0,1380.0,124.52173913043481,325.4663604409158,105928.35177865614,0,1,0,0,0,0,0,0,1.0,130.1818181818182,258.3333333333333,41.46153846153846,0,0,0,0,0,0,9,2325,13,539,-1,214,7,0,0,0,0,0,0,0,0,0,No Label
185.60.216.36-192.168.8.100-443-49756-6,192.168.8.100,49756,185.60.216.36,443,6,14/08/2020 08:11:50 PM,1025035,4,5,517.0,2280.0,517.0,0.0,129.25,258.5,1380.0,0.0,456.0,647.0548662980598,2728.687313116138,8.780187993580707,128129.375,194395.62809820706,537736.0,0.0,930387.0,310129.0,221805.12878876357,537736.0,94621.0,726891.0,181722.75,303663.33790276694,632278.0,0.0,0,0,0,0,80,124,3.902305774924759,4.877882218655949,0.0,1380.0,279.7,494.34222289152416,244374.23333333334,0,1,0,0,0,0,0,0,1.0,310.77777777777777,129.25,456.0,0,0,0,0,0,0,4,517,5,2280,-1,114,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-5.9.151.76-49767-444-6,192.168.8.100,49767,5.9.151.76,444,6,14/08/2020 08:11:51 PM,550526,5,8,29.0,17.0,21.0,0.0,5.8,8.757853618324527,6.0,0.0,2.125,2.948970764763288,83.5564532828604,23.613780275590983,45877.166666666664,50120.7434934213,135340.0,43.0,455429.0,113857.25,36387.93965381937,153759.0,79266.0,550472.0,78638.85714285714,40518.82555236341,136129.0,298.0,0,0,0,0,100,176,9.08222318291961,14.531557092671374,0.0,21.0,3.285714285714286,5.689782629734318,32.37362637362637,0,1,0,0,0,0,0,0,1.0,3.5384615384615383,5.8,2.125,0,0,0,0,0,0,5,29,8,17,-1,25971,3,0,0,0,0,0,0,0,0,0,No Label
185.60.216.36-192.168.8.100-443-49766-6,192.168.8.100,49766,185.60.216.36,443,6,14/08/2020 08:11:51 PM,624151,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.408705585667571,208050.33333333334,299505.59654259105,551339.0,98.0,551339.0,551339.0,0.0,551339.0,551339.0,72714.0,72714.0,0.0,72714.0,72714.0,0,0,0,0,40,64,3.2043527928337854,3.2043527928337854,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,28000,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-5.9.151.76-49765-444-6,192.168.8.100,49765,5.9.151.76,444,6,14/08/2020 08:11:51 PM,711326,10,12,2325.0,539.0,1380.0,0.0,232.49999999999997,456.30283560128987,522.0,0.0,44.91666666666667,150.26368238008894,4026.2833075130106,30.928153898493797,33872.666666666664,43972.35900464442,133224.0,0.0,630342.0,70038.0,82458.56622722711,253479.0,9.0,711270.0,64660.9090909091,56822.49517480651,169333.0,0.0,0,0,0,0,200,264,14.058251772042636,16.869902126451162,0.0,1380.0,124.52173913043481,325.4663604409158,105928.35177865614,0,1,0,0,0,0,0,0,1.0,130.1818181818182,232.5,44.916666666666664,0,0,0,0,0,0,10,2325,12,539,-1,214,7,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-5.9.151.76-49759-444-6,192.168.8.100,49759,5.9.151.76,444,6,14/08/2020 08:11:51 PM,239,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8368.200836820084,239.0,0.0,239.0,239.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4184.100418410042,4184.100418410042,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,63701,0,0,0,0,0,0,0,0,0,0,No Label
185.60.216.36-192.168.8.100-443-49761-6,192.168.8.100,49761,185.60.216.36,443,6,14/08/2020 08:11:51 PM,804632,5,5,517.0,2281.0,517.0,0.0,103.4,231.2094288734783,1380.0,0.0,456.2,647.2265445730729,3477.3660505672156,12.428041638910706,89403.55555555555,169077.71094389638,524989.0,25.0,712607.0,178151.75,234691.96793723045,524989.0,5803.0,710677.0,177669.25,293204.6285086862,612931.0,43.0,0,0,0,0,112,124,6.214020819455353,6.214020819455353,0.0,1380.0,254.36363636363637,476.63199068616296,227178.05454545454,0,1,0,0,0,0,0,0,1.0,279.8,103.4,456.2,0,0,0,0,0,0,5,517,5,2281,-1,114,1,0,0,0,0,0,0,0,0,0,No Label
185.60.216.36-192.168.8.100-443-49762-6,192.168.8.100,49762,185.60.216.36,443,6,14/08/2020 08:11:51 PM,804387,4,5,517.0,2281.0,517.0,0.0,129.25,258.5,1380.0,0.0,456.2,647.2265445730729,3478.425185886893,11.188644271973565,100548.375,177682.7454706341,526432.0,48.0,713230.0,237743.3333333333,250097.50537806918,526432.0,86849.0,704390.0,176097.5,290068.1592367559,606738.0,93.0,0,0,0,0,80,124,4.9727307875438065,6.215913484429759,0.0,1380.0,279.8,494.48172643463556,244512.17777777775,0,1,0,0,0,0,0,0,1.0,310.8888888888889,129.25,456.2,0,0,0,0,0,0,4,517,5,2281,-1,114,1,0,0,0,0,0,0,0,0,0,No Label
185.60.216.36-192.168.8.100-443-49755-6,192.168.8.100,49755,185.60.216.36,443,6,14/08/2020 08:11:50 PM,1025867,4,5,517.0,2281.0,517.0,0.0,129.25,258.5,1380.0,0.0,456.2,647.2265445730729,2727.4490747825985,8.773067073996922,128233.375,193358.90260337677,537301.0,55.0,930932.0,310310.6666666667,221331.1259184603,537301.0,95110.0,727283.0,181820.75,292423.6536811788,616039.0,127.0,0,0,0,0,80,124,3.8991409217764095,4.873926152220512,0.0,1380.0,279.8,494.48172643463556,244512.17777777775,0,1,0,0,0,0,0,0,1.0,310.8888888888889,129.25,456.2,0,0,0,0,0,0,4,517,5,2281,-1,114,1,0,0,0,0,0,0,0,0,0,No Label
172.217.16.163-192.168.8.100-443-49760-6,192.168.8.100,49760,172.217.16.163,443,6,14/08/2020 08:11:51 PM,1972748,7,10,736.0,4609.0,416.0,0.0,105.14285714285714,162.3375378354501,1380.0,0.0,460.9,611.8370244145449,2709.418536984957,8.61742097824963,123296.75,194496.95372815826,722505.0,1.0,1010816.0,168469.33333333334,140901.59142134152,423101.0,332.0,1972748.0,219194.22222222222,266519.63651801425,722505.0,1.0,0,0,0,0,152,224,3.5483498145733767,5.069071163676253,0.0,1380.0,296.94444444444446,493.58990744546844,243630.9967320261,0,1,0,0,0,0,0,0,1.0,314.4117647058824,105.14285714285714,460.9,0,0,0,0,0,0,7,736,10,4609,-1,246,3,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-5.9.151.76-49763-444-6,192.168.8.100,49763,5.9.151.76,444,6,14/08/2020 08:11:51 PM,1879594,17,15,4673.0,763.0,1380.0,0.0,274.8823529411764,467.06288152037695,421.0,0.0,50.86666666666666,120.77184313919406,2892.113935243462,17.024953261183,60632.06451612903,146177.71932455723,816977.0,0.0,1806037.0,112877.3125,196922.4795854852,816977.0,6.0,1009584.0,72113.14285714286,63179.90208293134,184953.0,0.0,0,0,0,0,340,316,9.044506420003469,7.980446841179531,0.0,1380.0,164.72727272727272,358.9239362949406,128826.39204545454,0,1,0,0,0,0,0,0,0.0,169.875,274.88235294117646,50.86666666666667,0,0,0,0,0,0,17,4673,15,763,-1,23069,13,0,0,0,0,0,0,0,0,0,No Label
172.217.16.163-192.168.8.100-443-49760-6,192.168.8.100,49760,172.217.16.163,443,6,14/08/2020 08:11:53 PM,389,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5141.388174807198,389.0,0.0,389.0,389.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2570.694087403599,2570.694087403599,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
