Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
152.199.19.161-192.168.8.100-443-60396-6,152.199.19.161,443,192.168.8.100,60396,6,18/08/2020 09:14:21 AM,493,1,2,0.0,64.0,0.0,0.0,0.0,0.0,64.0,0.0,32.0,45.254833995939045,129817.44421906695,6085.1926977687635,246.5,290.62088706767105,452.0,41.0,0,0,0,0,0,41.0,41.0,0.0,41.0,41.0,0,1,0,0,20,40,2028.397565922921,4056.795131845842,0.0,64.0,32.0,36.95041722813605,1365.3333333333333,0,0,0,1,1,0,0,0,2.0,42.666666666666664,0.0,32.0,0,0,0,0,0,0,1,0,2,64,-1,1019,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-209.141.38.102-60504-50002-6,192.168.8.100,60504,209.141.38.102,50002,6,18/08/2020 09:14:24 AM,3254498,6,2,1096.0,0.0,274.0,0.0,182.66666666666666,141.4929915814443,0.0,0.0,0.0,0.0,336.764686904094,2.45813640075981,464928.28571428574,515197.7586570404,1460201.0,73.0,3007677.0,601535.4,555781.3848657581,1460201.0,1139.0,246748.0,246748.0,0.0,246748.0,246748.0,0,0,0,0,120,60,1.8436023005698576,0.6145341001899525,0.0,274.0,121.77777777777777,144.410679814356,20854.444444444445,0,1,0,0,0,0,0,0,0.0,137.0,182.66666666666666,0.0,0,0,0,0,0,0,6,1096,2,0,-1,4210,4,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-209.141.38.102-60505-50002-6,192.168.8.100,60505,209.141.38.102,50002,6,18/08/2020 09:14:28 AM,3260154,6,2,1096.0,0.0,274.0,0.0,182.66666666666666,141.4929915814443,0.0,0.0,0.0,0.0,336.1804381020038,2.4538718109635314,465736.2857142857,511518.5866605808,1451014.0,73.0,3014173.0,602834.6,550172.944907599,1451014.0,1399.0,245908.0,245908.0,0.0,245908.0,245908.0,0,0,0,0,120,60,1.8404038582226483,0.6134679527408828,0.0,274.0,121.77777777777777,144.410679814356,20854.444444444445,0,1,0,0,0,0,0,0,0.0,137.0,182.66666666666666,0.0,0,0,0,0,0,0,6,1096,2,0,-1,4210,4,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-209.141.38.102-60504-50002-6,192.168.8.100,60504,209.141.38.102,50002,6,18/08/2020 09:14:30 AM,2897291,1,1,274.0,274.0,274.0,274.0,274.0,0.0,274.0,274.0,274.0,0.0,189.142202146764,0.6903000078349051,2897291.0,0.0,2897291.0,2897291.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.34515000391745254,0.34515000391745254,274.0,274.0,274.0,0.0,0.0,1,0,0,1,1,0,0,0,1.0,411.0,274.0,274.0,0,0,0,0,0,0,1,274,1,274,-1,512,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-209.141.38.102-60505-50002-6,192.168.8.100,60505,209.141.38.102,50002,6,18/08/2020 09:14:34 AM,2894464,1,1,274.0,274.0,274.0,274.0,274.0,0.0,274.0,274.0,274.0,0.0,189.3269358333702,0.6909742183699642,2894464.0,0.0,2894464.0,2894464.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.3454871091849821,0.3454871091849821,274.0,274.0,274.0,0.0,0.0,1,0,0,1,1,0,0,0,1.0,411.0,274.0,274.0,0,0,0,0,0,0,1,274,1,274,-1,512,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-209.141.38.102-60504-50002-6,192.168.8.100,60504,209.141.38.102,50002,6,18/08/2020 09:14:36 AM,5784414,2,1,275.0,274.0,274.0,1.0,137.5,193.04015126392747,274.0,274.0,274.0,0.0,94.91021908182921,0.5186350769498864,2892207.0,943488.3354965232,3559354.0,2225060.0,2225060.0,2225060.0,0.0,2225060.0,2225060.0,0,0,0,0,0,0,1,0,0,40,20,0.3457567179665909,0.17287835898329545,1.0,274.0,205.75,136.5,18632.25,1,0,0,1,1,0,0,0,0.0,274.3333333333333,137.5,274.0,0,0,0,0,0,0,2,275,1,274,-1,512,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-35.186.224.25-60468-443-6,192.168.8.100,60468,35.186.224.25,443,6,18/08/2020 09:14:45 AM,68557,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,29.17280511107545,68557.0,0.0,68557.0,68557.0,0,0,0,0,0,68557.0,68557.0,0.0,68557.0,68557.0,0,0,0,0,0,40,0.0,29.17280511107545,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,294,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-209.141.38.102-60505-50002-6,192.168.8.100,60505,209.141.38.102,50002,6,18/08/2020 09:14:39 AM,5768900,2,1,275.0,274.0,274.0,1.0,137.5,193.04015126392747,274.0,274.0,274.0,0.0,95.16545615281942,0.520029815042729,2884450.0,1005346.0367147224,3595337.0,2173563.0,2173563.0,2173563.0,0.0,2173563.0,2173563.0,0,0,0,0,0,0,1,0,0,40,20,0.34668654336181937,0.17334327168090968,1.0,274.0,205.75,136.5,18632.25,1,0,0,1,1,0,0,0,0.0,274.3333333333333,137.5,274.0,0,0,0,0,0,0,2,275,1,274,-1,512,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-35.225.54.191-60514-50001-6,192.168.8.100,60514,35.225.54.191,50001,6,18/08/2020 09:14:57 AM,757152,5,7,370.0,564.0,148.0,0.0,74.0,73.51190379795642,416.0,0.0,80.57142857142858,152.03821574728852,1233.5700097206372,15.848865221250158,68832.0,93824.79659450373,193534.0,197.0,563386.0,140846.5,93045.05685061046,189414.0,1296.0,756922.0,126153.66666666666,95443.33331074867,193534.0,2048.0,0,0,0,0,100,156,6.603693842187566,9.245171379062592,0.0,416.0,71.84615384615384,117.62500170304367,13835.641025641025,0,1,0,0,0,0,0,0,1.0,77.83333333333333,74.0,80.57142857142857,0,0,0,0,0,0,5,370,7,564,-1,64630,3,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-104.31.70.28-60317-443-6,192.168.8.100,60317,104.31.70.28,443,6,18/08/2020 09:14:23 AM,53351868,7,7,27.0,64.0,24.0,0.0,3.857142857142857,8.89622712968015,39.0,0.0,9.142857142857142,15.879006805932706,1.705657241467159,0.26240880637956293,4103989.846153847,6595981.250767771,1.5007628E7,35.0,3.829512E7,6382520.0,7432635.771039934,1.5069395E7,80.0,5.3351654E7,8891942.333333332,7378987.527713776,1.5073038E7,116.0,0,0,0,0,152,188,0.13120440318978147,0.13120440318978147,0.0,39.0,6.133333333333333,12.28743066637417,150.9809523809524,0,0,0,0,1,0,0,0,1.0,6.571428571428571,3.857142857142857,9.142857142857142,0,0,0,0,0,0,7,27,7,64,-1,67,4,0,59399.0,6248.164477135131,65410.0,50722.0,1.32784855E7,3452159.211650056,1.5007628E7,8100249.0,No Label
