Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.100-69.171.250.15-64604-443-6,69.171.250.15,443,192.168.8.100,64604,6,18/08/2020 11:00:23 AM,267,0,2,0.0,39.0,0,0,0,0,39.0,0.0,19.5,27.577164466275352,146067.4157303371,7490.636704119851,267.0,0.0,267.0,267.0,0,0,0,0,0,267.0,267.0,0.0,267.0,267.0,0,1,0,0,0,40,0.0,7490.636704119851,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,0.0,39.0,0.0,19.5,0,0,0,0,0,0,0,0,2,39,-1,509,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-91.121.175.66-64627-444-6,192.168.8.100,64627,91.121.175.66,444,6,18/08/2020 11:00:22 AM,3271729,85,75,64628.0,2353.0,1380.0,0.0,760.3294117647058,652.6453202204104,956.0,0.0,31.373333333333346,136.00196474468453,20472.661397077813,48.90380590812992,20576.911949685535,46596.33933364289,388568.0,0.0,3017849.0,35926.7738095238,72525.55639227088,388568.0,5.0,3271729.0,44212.55405405405,84912.77129802521,503905.0,0.0,0,0,0,0,1700,1764,25.98014688869402,22.9236590194359,0.0,1380.0,416.031055900621,604.6404657145462,365590.09277950326,0,1,0,0,0,0,0,0,0.0,418.63125,760.3294117647059,31.373333333333335,0,0,0,0,0,0,85,64628,75,2353,-1,64,79,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-91.121.175.66-64627-444-6,192.168.8.100,64627,91.121.175.66,444,6,18/08/2020 11:00:25 AM,60,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33333.333333333336,60.0,0.0,60.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16666.666666666668,16666.666666666668,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,511,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-192.0.56.82-64626-443-6,192.168.8.100,64626,192.0.56.82,443,6,18/08/2020 11:00:22 AM,3526363,42,64,2306.0,64160.0,951.0,0.0,54.9047619047619,177.56123087115193,1380.0,0.0,1002.5000000000002,586.6754598908115,18848.314821814998,30.059299056846957,33584.40952380951,91809.58817864613,567880.0,1.0,3341054.0,81489.12195121952,133656.09560850472,567880.0,41.0,3273028.0,51952.8253968254,158173.05219055322,780727.0,1.0,0,0,0,0,864,1304,11.910288305543133,18.149010751303823,0.0,1380.0,621.1775700934578,659.7335055612058,435248.2983600775,0,1,0,0,0,0,0,0,1.0,627.0377358490566,54.904761904761905,1002.5,0,0,0,0,0,0,42,2306,64,64160,-1,65535,6,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-35.186.224.25-64589-443-6,192.168.8.100,64589,35.186.224.25,443,6,18/08/2020 11:00:25 AM,51286,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,38.9969972312132,51286.0,0.0,51286.0,51286.0,0,0,0,0,0,51286.0,51286.0,0.0,51286.0,51286.0,0,0,0,0,0,40,0.0,38.9969972312132,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,314,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-192.0.56.82-64626-443-6,192.0.56.82,443,192.168.8.100,64626,6,18/08/2020 11:00:26 AM,938,3,2,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,33049.04051172708,5330.490405117271,234.5,264.3816685526186,569.0,0.0,616.0,308.0,435.57777721091327,616.0,0.0,369.0,369.0,0.0,369.0,369.0,0,0,0,0,60,40,3198.2942430703624,2132.1961620469083,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,0.0,6.2,10.333333333333334,0.0,0,0,0,0,0,0,3,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-91.121.175.66-64607-444-6,192.168.8.100,64607,91.121.175.66,444,6,18/08/2020 11:00:26 AM,223058,1,5,101.0,68.0,101.0,101.0,101.0,0.0,58.0,0.0,13.6,24.945941553687646,757.6504765576666,26.898833487254436,44611.6,54086.33684027788,121744.0,45.0,0,0,0,0,0,223058.0,55764.5,55440.33601689898,121744.0,5871.0,0,1,0,0,20,100,4.483138914542406,22.41569457271203,0.0,101.0,24.857142857142854,39.40147447083917,1552.4761904761906,0,0,0,1,1,0,0,0,5.0,29.0,101.0,13.6,0,0,0,0,0,0,1,101,5,68,-1,21876,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-91.121.175.66-64607-444-6,192.168.8.100,64607,91.121.175.66,444,6,18/08/2020 11:00:26 AM,57,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35087.71929824561,57.0,0.0,57.0,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,17543.859649122805,17543.859649122805,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64437,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-213.180.147.154-64606-993-6,213.180.147.154,993,192.168.8.100,64606,6,18/08/2020 11:00:26 AM,223448,0,4,0.0,154.0,0,0,0,0,101.0,0.0,38.5,48.58326186386967,689.1983817263972,17.901256668218107,74482.66666666667,77864.58902693402,162417.0,14281.0,0,0,0,0,0,223448.0,74482.66666666667,77864.58902693402,162417.0,14281.0,0,1,0,0,0,80,0.0,17.901256668218107,0.0,101.0,51.00000000000001,50.51237472144821,2551.5,0,0,0,1,1,0,0,0,0.0,63.75,0.0,38.5,0,0,0,0,0,0,0,0,4,154,-1,508,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-213.180.147.154-64606-993-6,213.180.147.154,993,192.168.8.100,64606,6,18/08/2020 11:00:26 AM,380,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5263.157894736842,380.0,0.0,380.0,380.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2631.578947368421,2631.578947368421,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,237,0,0,0,0,0,0,0,0,0,0,No Label
