Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
191.232.245.3-192.168.8.101-443-53562-6,192.168.8.101,53562,191.232.245.3,443,6,21/08/2020 10:02:15 AM,1396144,13,12,2048.0,8609.0,1276.0,0.0,157.53846153846155,362.59840397346284,1380.0,0.0,717.4166666666666,693.5727605972024,7633.166779358003,17.906462370643716,58172.666666666664,111016.63424897646,280540.0,1.0,1128290.0,94024.16666666666,131495.69778225606,280601.0,21.0,1396144.0,126922.18181818182,142941.81263634385,291822.0,1.0,0,0,0,0,308,264,9.311360432734732,8.595101937908984,0.0,1380.0,409.8846153846155,599.9981551253688,359997.7861538462,0,1,0,0,0,0,0,0,0.0,426.28,157.53846153846155,717.4166666666666,0,0,0,0,0,0,13,2048,12,8609,-1,1024,4,0,0,0,0,0,0,0,0,0,No Label
191.232.245.3-192.168.8.101-443-53562-6,192.168.8.101,53562,191.232.245.3,443,6,21/08/2020 10:02:17 AM,12064,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.78249336870027,12064.0,0.0,12064.0,12064.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,82.89124668435014,82.89124668435014,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1023,0,0,0,0,0,0,0,0,0,0,No Label
191.232.245.3-192.168.8.101-443-53567-6,192.168.8.101,53567,191.232.245.3,443,6,21/08/2020 10:02:17 AM,3241139,11,12,2023.0,9572.0,1330.0,0.0,183.90909090909093,400.89062212664805,1380.0,0.0,797.6666666666667,676.8300892372987,3577.446076826696,7.0962707862884,147324.5,237751.7910360158,802812.0,40.0,2679504.0,267950.4,297698.0796609582,802858.0,320.0,3241139.0,294649.0,266794.3993265226,802867.0,384.0,0,0,0,0,300,264,3.3938686369205393,3.702402149367861,0.0,1380.0,483.12500000000006,627.3373901553746,393552.2010869566,0,1,0,0,0,0,0,0,1.0,504.1304347826087,183.9090909090909,797.6666666666666,0,0,0,0,0,0,11,2023,12,9572,-1,1024,4,0,0,0,0,0,0,0,0,0,No Label
191.232.245.3-192.168.8.101-443-53567-6,192.168.8.101,53567,191.232.245.3,443,6,21/08/2020 10:02:20 AM,423,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,73286.05200945627,7092.198581560284,211.5,23.33452377915607,228.0,195.0,195.0,195.0,0.0,195.0,195.0,0,0,0,0,0,0,0,0,0,40,20,4728.132387706856,2364.066193853428,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,507,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.101-104.17.79.107-53558-443-6,192.168.8.101,53558,104.17.79.107,443,6,21/08/2020 10:02:20 AM,68759,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,29.087101324917466,68759.0,0.0,68759.0,68759.0,0,0,0,0,0,68759.0,68759.0,0.0,68759.0,68759.0,0,0,0,0,0,40,0.0,29.087101324917466,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,66,0,0,0,0,0,0,0,0,0,0,No Label
191.232.245.3-192.168.8.101-443-53570-6,192.168.8.101,53570,191.232.245.3,443,6,21/08/2020 10:02:20 AM,1103529,8,11,2025.0,8198.0,1332.0,0.0,253.125,458.55781299323957,1380.0,0.0,745.2727272727273,683.632955745858,9263.916036642444,17.217490432965512,61307.16666666667,116133.19095015303,277987.0,41.0,548306.0,78329.42857142857,131270.58070242693,272025.0,346.0,1103529.0,110352.9,140404.17175145156,279749.0,916.0,0,0,0,0,160,244,7.24946965598548,9.968020776980035,0.0,1380.0,511.15000000000003,630.0503133626877,396963.397368421,0,1,0,0,0,0,0,0,1.0,538.0526315789474,253.125,745.2727272727273,0,0,0,0,0,0,8,2025,11,8198,-1,1024,4,0,0,0,0,0,0,0,0,0,No Label
191.232.245.3-192.168.8.101-443-53570-6,192.168.8.101,53570,191.232.245.3,443,6,21/08/2020 10:02:21 AM,222,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,139639.63963963964,13513.513513513513,111.0,4.242640687119285,114.0,108.0,108.0,108.0,0.0,108.0,108.0,0,0,0,0,0,0,0,0,0,40,20,9009.009009009009,4504.504504504504,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,507,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.101-52.114.32.24-53571-443-6,192.168.8.101,53571,52.114.32.24,443,6,21/08/2020 10:02:21 AM,4405372,8,8,2198.0,4439.0,968.0,0.0,274.75,420.7981361990229,1380.0,0.0,554.875,664.3337021837315,1506.5697062586316,3.6319293807651207,293691.4666666667,810401.8001337245,3188753.0,34.0,4126562.0,589508.8571428572,1155529.0406867655,3188753.0,324.0,1163045.0,166149.2857142857,150317.0409686521,302695.0,120.0,0,0,0,0,160,184,1.8159646903825604,1.8159646903825604,0.0,1380.0,390.4117647058824,547.9906544394177,300293.7573529412,0,1,0,0,0,0,0,0,1.0,414.8125,274.75,554.875,0,0,0,0,0,0,8,2198,8,4439,-1,1024,4,0,0,0,0,0,0,0,0,0,No Label
192.168.8.101-52.114.32.24-53572-443-6,192.168.8.101,53572,52.114.32.24,443,6,21/08/2020 10:02:23 AM,3156133,15,13,5229.0,6176.0,1380.0,0.0,348.59999999999997,539.2975325100501,1380.0,0.0,475.07692307692315,622.5109719968077,3613.5993001562356,8.871615993369101,116893.8148148148,221404.1939851944,816328.0,26.0,2864300.0,204592.85714285716,282239.7024521634,816371.0,26.0,3078897.0,256574.74999999997,284713.9405668673,816414.0,256.0,0,0,0,0,344,308,4.752651425019161,4.11896456834994,0.0,1380.0,393.2758620689655,566.7456532413639,321200.63546798035,0,1,0,0,0,0,0,0,0.0,407.32142857142856,348.6,475.0769230769231,0,0,0,0,0,0,15,5229,13,6176,-1,1020,8,0,0,0,0,0,0,0,0,0,No Label
192.168.8.101-91.228.74.134-53368-443-6,91.228.74.134,443,192.168.8.101,53368,6,21/08/2020 10:02:30 AM,191,0,2,0.0,46.0,0,0,0,0,46.0,0.0,23.0,32.526911934581186,240837.69633507854,10471.204188481675,191.0,0.0,191.0,191.0,0,0,0,0,0,191.0,191.0,0.0,191.0,191.0,0,1,0,0,0,40,0.0,10471.204188481675,0.0,46.0,30.666666666666664,26.558112382722786,705.3333333333334,0,0,0,1,1,0,0,0,0.0,46.0,0.0,23.0,0,0,0,0,0,0,0,0,2,46,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
