Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,25/08/2020 07:33:09 PM,119997774,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208337197988356,4999907.25,5868048.65518539,1.3127623E7,869048.0,1.19128726E8,5179509.826086957,5932100.556775312,1.3127623E7,870783.0,0,0,0,0,0,0,0,0,0,0,0,0.20000371006882176,0.008333487919534241,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,24,0,1,0,-1,-1,0,0,1876179.3749999998,6693.052857521068,1886921.0,1866589.0,1.3123542375E7,5908.1457796480445,1.3127623E7,1.310979E7,No Label
172.25.211.197-216.58.201.238-33925-443-17,172.25.211.197,33925,216.58.201.238,443,17,25/08/2020 07:33:18 PM,105112543,17,19,3867.0,1356.0,642.0,23.0,227.47058823529412,281.61856243131837,638.0,16.0,71.36842105263158,139.55811633959993,49.68959793884922,0.342490048975411,3003215.5142857144,5765168.051398274,1.8737784E7,19.0,1.04930104E8,6558131.5,7124548.557280806,1.8737784E7,76016.0,1.05112543E8,5839585.722222223,7085269.888433392,1.8839089E7,19.0,0,0,0,0,136,152,0.16173141201616634,0.1807586369592447,16.0,642.0,158.4054054054054,240.05525515082047,57626.525525525525,0,0,0,0,0,0,0,0,1.0,162.80555555555554,227.47058823529412,71.36842105263158,0,0,0,0,0,0,17,3867,19,1356,-1,-1,17,0,241508.0,346326.373971968,1083355.0,76016.0,1.2884781625E7,4081999.313948075,1.8737784E7,5907046.0,No Label
172.25.211.197-185.64.189.115-58378-443-6,172.25.211.197,58378,185.64.189.115,443,6,25/08/2020 07:33:27 PM,92233738,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06505211791372914,1.84467476E7,2.5158552470690075E7,4.6007111E7,73117.0,4.607978E7,4.607978E7,0.0,4.607978E7,4.607978E7,9.2233738E7,3.0744579333333332E7,2.656226555798929E7,4.608088E7,73117.0,0,0,0,0,64,128,0.02168403930457638,0.04336807860915276,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,1126,0,0,73443.0,461.033621333629,73769.0,73117.0,4.6006561E7,777.8174593052023,4.6007111E7,4.6006011E7,No Label
172.25.211.197-185.64.189.115-58376-443-6,172.25.211.197,58376,185.64.189.115,443,6,25/08/2020 07:33:32 PM,92237424,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06504951829530711,1.84474848E7,2.516168157364785E7,4.6015909E7,67392.0,4.6090063E7,4.6090063E7,0.0,4.6090063E7,4.6090063E7,9.2237424E7,3.0745808E7,2.6562195176309828E7,4.6083301E7,74427.0,0,0,0,0,64,128,0.02168317276510237,0.04336634553020474,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,2400,0,0,74290.5,193.04015126392747,74427.0,74154.0,4.60107255E7,7330.576000560938,4.6015909E7,4.6005542E7,No Label
172.25.211.197-173.194.182.168-39485-443-17,172.25.211.197,39485,173.194.182.168,443,17,25/08/2020 07:33:15 PM,2080802,159,856,8029.0,1151451.0,1350.0,28.0,50.496855345911925,154.63946940020742,1350.0,21.0,1345.1530373831795,73.7752946183658,557227.4536452772,487.7926876271746,2052.072978303749,4576.246669278712,90595.0,0.0,2080284.0,13166.354430379748,11847.80750610021,93271.0,0.0,2080802.0,2433.686549707602,5701.760580436728,90597.0,6.0,0,0,0,0,1272,6848,76.41284466277907,411.3798429643955,21.0,1350.0,1142.5492125984244,479.35943253056945,229785.46555602958,0,0,0,0,0,0,0,0,5.0,1143.6748768472905,50.496855345911946,1345.1530373831777,0,0,0,0,0,0,159,8029,856,1151451,-1,-1,159,0,0,0,0,0,0,0,0,0,No Label
172.25.211.197-208.67.222.222-50755-53-17,172.25.211.197,50755,208.67.222.222,53,17,25/08/2020 07:37:03 PM,92188,0,2,0.0,138.0,0,0,0,0,90.0,48.0,69.0,29.698484809834994,1496.941033540157,21.694797587538506,92188.0,0.0,92188.0,92188.0,0,0,0,0,0,92188.0,92188.0,0.0,92188.0,92188.0,0,0,0,0,0,16,0.0,21.694797587538506,48.0,90.0,62.0,24.24871130596428,588.0,0,0,0,0,0,0,0,0,0.0,93.0,0.0,69.0,0,0,0,0,0,0,0,0,2,138,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
172.25.211.197-185.64.189.115-58376-443-6,172.25.211.197,58376,185.64.189.115,443,6,25/08/2020 07:35:50 PM,46153623,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08666708570202603,1.5384541E7,2.6519823093044117E7,4.6006995E7,72927.0,0,0,0,0,0,4.6153623E7,2.30768115E7,3.253131084586695E7,4.6079922E7,73701.0,0,0,0,0,32,96,0.021666771425506506,0.06500031427651952,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,2400,0,0,73701.0,0.0,73701.0,73701.0,4.6006995E7,0.0,4.6006995E7,4.6006995E7,No Label
172.25.211.197-208.67.222.222-54983-53-17,172.25.211.197,54983,208.67.222.222,53,17,25/08/2020 07:37:05 PM,101298,0,2,0.0,74.0,0,0,0,0,45.0,29.0,37.0,11.313708498984761,730.5178779442832,19.743726430926575,101298.0,0.0,101298.0,101298.0,0,0,0,0,0,101298.0,101298.0,0.0,101298.0,101298.0,0,0,0,0,0,16,0.0,19.743726430926575,29.0,45.0,34.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,0.0,51.5,0.0,37.0,0,0,0,0,0,0,0,0,2,74,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
172.25.211.197-208.67.222.222-47529-53-17,172.25.211.197,47529,208.67.222.222,53,17,25/08/2020 07:34:55 PM,71779,0,2,0.0,169.0,0,0,0,0,111.0,58.0,84.5,37.476659402887016,2354.449072848605,27.863302637261597,71779.0,0.0,71779.0,71779.0,0,0,0,0,0,71779.0,71779.0,0.0,71779.0,71779.0,0,0,0,0,0,16,0.0,27.863302637261597,58.0,111.0,75.66666666666667,30.599564267050166,936.3333333333334,0,0,0,0,0,0,0,0,0.0,113.5,0.0,84.5,0,0,0,0,0,0,0,0,2,169,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
172.25.211.197-216.58.198.214-58761-443-17,172.25.211.197,58761,216.58.198.214,443,17,25/08/2020 07:37:05 PM,93475,2,13,400.0,16569.0,372.0,28.0,200.0,243.24473272817235,1350.0,369.0,1274.5384615384614,272.0804462484749,181535.16983150574,160.4707140946777,6676.785714285713,22790.573112510865,85853.0,0.0,93475.0,93475.0,0.0,93475.0,93475.0,92709.0,7725.750000000002,24605.269443482295,85853.0,202.0,0,0,0,0,16,104,21.396095212623695,139.074618882054,28.0,1350.0,1144.9374999999998,446.7451874391038,199581.26249999998,0,0,0,0,0,0,0,0,6.0,1221.2666666666667,200.0,1274.5384615384614,0,0,0,0,0,0,2,400,13,16569,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
